Date,Open,High,Low,Close,Adj Close,Volume
2014-05-06,47.060001,47.060001,47.060001,47.060001,43.616409,0
2014-05-07,47.299999,47.299999,47.299999,47.299999,43.838860,0
2014-05-08,47.180000,47.180000,47.180000,47.180000,43.727631,0
2014-05-09,47.290001,47.290001,47.290001,47.290001,43.829586,0
2014-05-12,47.830002,47.830002,47.830002,47.830002,44.330078,0
2014-05-13,47.790001,47.790001,47.790001,47.790001,44.292999,0
2014-05-14,47.529999,47.529999,47.529999,47.529999,44.052029,0
2014-05-15,47.110001,47.110001,47.110001,47.110001,43.662758,0
2014-05-16,47.290001,47.290001,47.290001,47.290001,43.829586,0
2014-05-19,47.520000,47.520000,47.520000,47.520000,44.042755,0
2014-05-20,47.169998,47.169998,47.169998,47.169998,43.718365,0
2014-05-21,47.540001,47.540001,47.540001,47.540001,44.061291,0
2014-05-22,47.689999,47.689999,47.689999,47.689999,44.200317,0
2014-05-23,47.930000,47.930000,47.930000,47.930000,44.422760,0
2014-05-27,48.259998,48.259998,48.259998,48.259998,44.728607,0
2014-05-28,48.189999,48.189999,48.189999,48.189999,44.663731,0
2014-05-29,48.450001,48.450001,48.450001,48.450001,44.904709,0
2014-05-30,48.490002,48.490002,48.490002,48.490002,44.941776,0
2014-06-02,48.529999,48.529999,48.529999,48.529999,44.978851,0
2014-06-03,48.509998,48.509998,48.509998,48.509998,44.960312,0
2014-06-04,48.639999,48.639999,48.639999,48.639999,45.080799,0
2014-06-05,49.009998,49.009998,49.009998,49.009998,45.423721,0
2014-06-06,49.270000,49.270000,49.270000,49.270000,45.664703,0
2014-06-09,49.349998,49.349998,49.349998,49.349998,45.738846,0
2014-06-10,49.320000,49.320000,49.320000,49.320000,45.711044,0
2014-06-11,49.150002,49.150002,49.150002,49.150002,45.553486,0
2014-06-12,48.820000,48.820000,48.820000,48.820000,45.247627,0
2014-06-13,48.980000,48.980000,48.980000,48.980000,45.395924,0
2014-06-16,49.029999,49.029999,49.029999,49.029999,45.442257,0
2014-06-17,49.189999,49.189999,49.189999,49.189999,45.590549,0
2014-06-18,49.549999,49.549999,49.549999,49.549999,45.924210,0
2014-06-19,49.619999,49.619999,49.619999,49.619999,45.989090,0
2014-06-20,49.720001,49.720001,49.720001,49.720001,46.081772,0
